RabA,RabB,RabC,RabD,RabE,area,memCis,memL,memLS,memMedial,memS,memTrans,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
0.0,0.0,0.0,1384814.04,30787.61,1415601.65,6125.55,8033.0,0.65,6125.55,6125.55,6125.55,1.95,1.0,786.36,196257.0,154328.47,1.0,1.415758729E7,
0.0,0.0,0.0,1384814.04,30787.61,1415601.65,6125.55,8033.0,0.65,6125.55,6125.55,6125.55,1.95,1.0,786.36,196257.0,154328.47,1.0,1.415758729E7,
0.0,0.0,0.0,1384814.04,30787.61,1415601.65,6125.55,8033.0,0.65,6125.55,6125.55,6125.55,1.95,1.0,786.36,196257.0,154328.47,1.0,1.415758729E7,
0.0,0.0,0.0,1369420.24,30787.61,1400207.85,6058.94,8033.0,0.65,6058.94,6058.94,6058.94,0.89,1.0,778.88,196257.0,152860.18,1.0,1.40228915E7,
0.0,0.0,0.0,1369420.24,30787.61,1400207.85,6058.94,8033.0,0.65,6058.94,6058.94,6058.94,0.89,1.0,778.88,196257.0,152860.18,1.0,1.40228915E7,
0.0,0.0,0.0,1354026.43,15393.8,1369420.24,5925.71,8033.0,0.65,5925.71,5925.71,5925.71,0.18,1.0,763.91,196257.0,149923.61,1.0,1.375349993E7,
0.0,0.0,0.0,1338632.63,15393.8,1354026.43,5859.1,8033.0,0.65,5859.1,5859.1,5859.1,0.08,1.0,756.43,196257.0,148455.32,1.0,1.361880415E7,
0.0,0.0,0.0,1338632.63,15393.8,1354026.43,5859.1,8033.0,0.65,5859.1,5859.1,5859.1,0.08,1.0,756.43,196257.0,148455.32,1.0,1.361880415E7,
0.0,0.0,0.0,1338632.63,15393.8,1354026.43,5859.1,8033.0,0.65,5859.1,5859.1,5859.1,0.08,1.0,756.43,196257.0,148455.32,1.0,1.361880415E7,
0.0,0.0,0.0,1338632.63,15393.8,1354026.43,5859.1,8033.0,0.65,5859.1,5859.1,5859.1,0.08,1.0,756.43,196257.0,148455.32,1.0,1.361880415E7,
0.0,0.0,0.0,1338632.63,15393.8,1354026.43,5859.1,8033.0,0.65,5859.1,5859.1,5859.1,0.08,1.0,756.43,196257.0,148455.32,1.0,1.361880415E7,
0.0,0.0,0.0,1338632.63,15393.8,1354026.43,5859.1,8033.0,0.65,5859.1,5859.1,5859.1,0.08,1.0,756.43,196257.0,148455.32,1.0,1.361880415E7,
0.0,0.0,0.0,1323238.83,15393.8,1338632.63,5792.49,8033.0,0.65,5792.49,5792.49,5792.49,0.03,1.0,748.95,196257.0,146987.04,1.0,1.348410836E7,
0.0,0.0,0.0,1307845.02,15393.8,1323238.83,5725.88,8033.0,0.65,5725.88,5725.88,5725.88,0.01,1.0,741.47,196257.0,145518.75,1.0,1.334941258E7,
0.0,0.0,0.0,1292451.22,15393.8,1307845.02,5659.27,8033.0,0.65,5659.27,5659.27,5659.27,0.01,1.0,733.99,196257.0,144050.46,1.0,1.321471679E7,
0.0,0.0,0.0,1292451.22,15393.8,1307845.02,5659.27,8033.0,0.65,5659.27,5659.27,5659.27,0.01,1.0,733.99,196257.0,144050.46,1.0,1.321471679E7,
0.0,0.0,0.0,1277057.41,15393.8,1292451.22,5592.66,8033.0,0.65,5592.66,5592.66,5592.66,0.0,1.0,726.51,196257.0,142582.18,1.0,1.308002101E7,
0.0,0.0,0.0,1277057.41,15393.8,1292451.22,5592.66,8033.0,0.65,5592.66,5592.66,5592.66,0.0,1.0,726.51,196257.0,142582.18,1.0,1.308002101E7,
0.0,0.0,0.0,1261663.61,15393.8,1277057.41,5526.04,8033.0,0.65,5526.04,5526.04,5526.04,0.0,1.0,719.03,196257.0,141113.89,1.0,1.294532522E7,
0.0,0.0,0.0,1261663.61,15393.8,1277057.41,5526.04,8033.0,0.65,5526.04,5526.04,5526.04,0.0,1.0,719.03,196257.0,141113.89,1.0,1.294532522E7,
0.0,0.0,0.0,1246269.81,15393.8,1261663.61,5459.43,8033.0,0.65,5459.43,5459.43,5459.43,0.0,1.0,711.54,196257.0,139645.6,1.0,1.281062944E7,
0.0,0.0,0.0,1246269.81,15393.8,1261663.61,5459.43,8033.0,0.65,5459.43,5459.43,5459.43,0.0,1.0,711.54,196257.0,139645.6,1.0,1.281062944E7,
0.0,0.0,0.0,1246269.81,15393.8,1261663.61,5459.43,8033.0,0.65,5459.43,5459.43,5459.43,0.0,1.0,711.54,196257.0,139645.6,1.0,1.281062944E7,
0.0,0.0,0.0,0.0,1246269.81,1246269.81,5392.82,8033.0,0.65,5392.82,5392.82,5392.82,0.0,1.0,704.06,196257.0,138177.32,1.0,1.267593365E7,
0.0,0.0,0.0,0.0,1246269.81,1246269.81,5392.82,8033.0,0.65,5392.82,5392.82,5392.82,0.0,1.0,704.06,196257.0,138177.32,1.0,1.267593365E7,
0.0,0.0,0.0,0.0,1230876.0,1230876.0,5326.21,8033.0,0.65,5326.21,5326.21,5326.21,0.0,1.0,696.58,196257.0,136709.03,1.0,1.254123787E7,
0.0,0.0,0.0,0.0,1230876.0,1230876.0,5326.21,8033.0,0.65,5326.21,5326.21,5326.21,0.0,1.0,696.58,196257.0,136709.03,1.0,1.254123787E7,
0.0,0.0,0.0,0.0,1230876.0,1230876.0,5326.21,8033.0,0.65,5326.21,5326.21,5326.21,0.0,1.0,696.58,196257.0,136709.03,1.0,1.254123787E7,
0.0,0.0,0.0,0.0,1215482.2,1215482.2,5259.6,8033.0,0.65,5259.6,5259.6,5259.6,0.0,1.0,689.1,196257.0,135240.74,1.0,1.240654208E7,
0.0,0.0,0.0,0.0,1200088.39,1200088.39,5192.99,8033.0,0.65,5192.99,5192.99,5192.99,0.0,1.0,681.62,196257.0,133772.46,1.0,1.22718463E7,
0.0,0.0,0.0,0.0,1200088.39,1200088.39,5192.99,8033.0,0.65,5192.99,5192.99,5192.99,0.0,1.0,681.62,196257.0,133772.46,1.0,1.22718463E7,
0.0,0.0,0.0,0.0,1169300.79,1169300.79,5059.76,8033.0,0.65,5059.76,5059.76,5059.76,0.0,1.0,666.66,196257.0,130835.89,1.0,1.200245473E7,
0.0,0.0,0.0,0.0,1169300.79,1169300.79,5059.76,8033.0,0.65,5059.76,5059.76,5059.76,0.0,1.0,666.66,196257.0,130835.89,1.0,1.200245473E7,
