#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
4.0,16.0,1.36151,0.45668,0.23349,0.18808,0.23555,0.0,0.34288,
4.0,20.0,1.36122,0.45412,0.23384,0.18587,0.23801,0.0,0.34228,
4.0,20.0,1.36122,0.45412,0.23384,0.18587,0.23801,0.0,0.34228,
4.0,21.0,1.36054,0.4541,0.23432,0.18417,0.2385,0.0,0.343,
4.0,25.0,1.36013,0.44633,0.2363,0.18361,0.2363,0.0,0.34378,
4.0,26.0,1.35995,0.44294,0.2368,0.184,0.23469,0.0,0.34451,
4.0,28.0,1.3604,0.43659,0.23568,0.18478,0.23568,0.0,0.34385,
3.0,25.0,1.09215,0.2934,0.0,0.35827,0.28019,0.36153,0.0,
4.0,20.0,1.38037,0.25858,0.25358,0.27748,0.20579,0.26314,0.0,
4.0,22.0,1.38,0.25865,0.25301,0.27948,0.20487,0.26263,0.0,
4.0,23.0,1.37949,0.25863,0.25362,0.28016,0.20295,0.26327,0.0,
4.0,20.0,1.3791,0.26955,0.2518,0.27814,0.20149,0.26856,0.0,
4.0,20.0,1.3791,0.26955,0.2518,0.27814,0.2015,0.26856,0.0,
4.0,14.0,1.3829,0.32364,0.24823,0.27184,0.21753,0.2624,0.0,
4.0,14.0,1.38289,0.32364,0.24823,0.27184,0.21753,0.2624,0.0,
4.0,14.0,1.38289,0.32364,0.24823,0.27184,0.21753,0.2624,0.0,
4.0,15.0,1.38296,0.32382,0.24703,0.27313,0.21856,0.26127,0.0,
4.0,17.0,1.38272,0.32301,0.24821,0.27443,0.21722,0.26013,0.0,
4.0,17.0,1.38257,0.32525,0.2428,0.27641,0.21879,0.262,0.0,
4.0,17.0,1.38211,0.32846,0.2428,0.27641,0.21638,0.26441,0.0,
4.0,19.0,1.38254,0.32303,0.24397,0.27292,0.21743,0.26568,0.0,
4.0,21.0,1.38233,0.31932,0.24515,0.27424,0.21606,0.26454,0.0,
4.0,22.0,1.38245,0.31875,0.24575,0.27491,0.21658,0.26276,0.0,
4.0,25.0,1.38242,0.31266,0.24755,0.27448,0.21573,0.26224,0.0,
4.0,26.0,1.38147,0.3163,0.24631,0.27583,0.21187,0.26599,0.0,
4.0,28.0,1.38183,0.31256,0.24753,0.27472,0.21292,0.26483,0.0,
4.0,31.0,1.38181,0.2988,0.2475,0.27247,0.21254,0.26748,0.0,
4.0,35.0,1.38243,0.28551,0.25,0.2727,0.21469,0.26261,0.0,
4.0,36.0,1.38264,0.28526,0.25063,0.27086,0.21523,0.26327,0.0,
4.0,38.0,1.38182,0.2797,0.2519,0.27224,0.21124,0.26461,0.0,
4.0,40.0,1.3815,0.27049,0.25319,0.27363,0.20977,0.26341,0.0,
4.0,40.0,1.38023,0.27808,0.25319,0.26852,0.20466,0.27363,0.0,
4.0,43.0,1.38079,0.26861,0.25129,0.26682,0.20731,0.27458,0.0,
4.0,43.0,1.38075,0.26987,0.2474,0.2682,0.20838,0.27601,0.0,
4.0,43.0,1.38075,0.26987,0.2474,0.2682,0.20838,0.27601,0.0,
4.0,45.0,1.38031,0.2591,0.24474,0.2684,0.20795,0.27891,0.0,
4.0,36.0,1.38406,0.3013,0.23909,0.25963,0.22882,0.27246,0.0,
4.0,36.0,1.38392,0.16552,0.0,0.23713,0.26029,0.22941,0.27316,
5.0,38.0,1.60668,0.12938,0.21383,0.18535,0.20569,0.17925,0.21586,
5.0,41.0,1.60671,0.12389,0.21514,0.18444,0.20491,0.18035,0.21514,
5.0,42.0,1.60689,0.124,0.21397,0.1852,0.2037,0.18109,0.21603,
5.0,42.0,1.60702,0.12424,0.21235,0.18558,0.20412,0.18147,0.21647,
5.0,42.0,1.60713,0.12447,0.21073,0.18597,0.20454,0.18184,0.21692,
5.0,45.0,1.60653,0.12376,0.21204,0.18505,0.20581,0.17882,0.21827,
5.0,43.0,1.60625,0.14442,0.20953,0.18259,0.21367,0.17845,0.21575,
5.0,43.0,1.60625,0.14442,0.20953,0.18259,0.21367,0.17845,0.21575,
5.0,24.0,1.60666,0.24339,0.2,0.21598,0.20599,0.17203,0.20599,
5.0,24.0,1.60663,0.24339,0.2,0.21598,0.20599,0.17203,0.20599,
5.0,24.0,1.60652,0.24637,0.2,0.21798,0.20399,0.17203,0.20599,
5.0,27.0,1.60676,0.23892,0.1996,0.21772,0.20362,0.17342,0.20564,
5.0,28.0,1.60678,0.23718,0.19838,0.2186,0.20243,0.17412,0.20647,
5.0,30.0,1.60685,0.23196,0.19919,0.21949,0.20122,0.17483,0.20528,
5.0,24.0,1.60816,0.25038,0.19679,0.21685,0.1988,0.18476,0.20281,
5.0,24.0,1.60828,0.25366,0.19518,0.21728,0.1992,0.18714,0.2012,
5.0,25.0,1.60826,0.24812,0.19557,0.21772,0.19758,0.18751,0.20161,
5.0,24.0,1.60792,0.26593,0.19193,0.21614,0.20605,0.18386,0.20202,
5.0,26.0,1.60757,0.27635,0.19271,0.21904,0.20689,0.18258,0.19878,
5.0,29.0,1.60769,0.27591,0.19388,0.21834,0.20815,0.18369,0.19592,
5.0,29.0,1.60777,0.28005,0.19388,0.21631,0.21019,0.18369,0.19592,
5.0,29.0,1.60764,0.2889,0.19058,0.21514,0.2131,0.18444,0.19672,
5.0,31.0,1.60791,0.28531,0.19137,0.21192,0.21397,0.1852,0.19753,
5.0,30.0,1.60779,0.28844,0.19098,0.21353,0.21353,0.18482,0.19713,
5.0,31.0,1.60791,0.28531,0.19137,0.21192,0.21397,0.1852,0.19753,
5.0,30.0,1.60819,0.29092,0.18931,0.20986,0.21397,0.18931,0.19753,
5.0,28.0,1.60838,0.29618,0.18854,0.209,0.2131,0.19263,0.19672,
5.0,29.0,1.60846,0.29573,0.18892,0.20738,0.21353,0.19303,0.19713,
5.0,31.0,1.60855,0.28749,0.1897,0.20824,0.21235,0.19382,0.19588,
4.0,30.0,1.38498,0.21619,0.0,0.23138,0.25963,0.26476,0.24422,
5.0,30.0,1.60779,0.17254,0.21412,0.18184,0.20403,0.20807,0.19193,
5.0,29.0,1.60798,0.18302,0.21369,0.18349,0.20362,0.20765,0.19154,
5.0,29.0,1.60798,0.18302,0.21369,0.18349,0.20362,0.20765,0.19154,
5.0,30.0,1.60788,0.18302,0.21412,0.18386,0.20403,0.20807,0.18991,
5.0,6.0,1.60103,0.30137,0.25042,0.17537,0.19461,0.19846,0.18114,
5.0,5.0,1.60102,0.30555,0.24994,0.17503,0.19424,0.2,0.18079,
5.0,6.0,1.60155,0.30591,0.24753,0.17411,0.19536,0.20116,0.18184,
5.0,6.0,1.60199,0.30574,0.24559,0.17411,0.19729,0.20116,0.18184,
5.0,8.0,1.60178,0.30154,0.24655,0.17479,0.19806,0.2,0.18061,
5.0,8.0,1.60152,0.30962,0.24655,0.17285,0.2,0.2,0.18061,
5.0,8.0,1.60152,0.30962,0.24655,0.17285,0.2,0.2,0.18061,
5.0,7.0,1.60153,0.31382,0.24607,0.17251,0.19961,0.20155,0.18026,
5.0,8.0,1.60121,0.3138,0.24655,0.17091,0.2,0.20194,0.18061,
5.0,8.0,1.6016,0.31402,0.24508,0.17124,0.20039,0.20233,0.18096,
5.0,8.0,1.6016,0.31402,0.24508,0.17124,0.20039,0.20233,0.18096,
5.0,10.0,1.60164,0.31372,0.24456,0.17029,0.19961,0.20352,0.18202,
5.0,10.0,1.60202,0.31393,0.24309,0.17062,0.2,0.20392,0.18237,
5.0,12.0,1.60218,0.31066,0.24207,0.17129,0.20079,0.20472,0.18112,
5.0,14.0,1.60292,0.30731,0.23956,0.17231,0.20198,0.20396,0.1822,
5.0,16.0,1.60329,0.30679,0.239,0.17334,0.20119,0.20318,0.18329,
5.0,19.0,1.60334,0.29917,0.23843,0.17238,0.2024,0.2024,0.18439,
5.0,19.0,1.6033,0.30393,0.23643,0.17038,0.2024,0.2064,0.18439,
5.0,20.0,1.60366,0.30011,0.23537,0.17106,0.20321,0.20522,0.18513,
5.0,18.0,1.60427,0.31482,0.23443,0.17438,0.2024,0.2044,0.18439,
5.0,21.0,1.60429,0.29624,0.23383,0.17342,0.20161,0.20564,0.1855,
5.0,21.0,1.6046,0.29648,0.23228,0.17377,0.20202,0.20605,0.18588,
5.0,13.0,1.60185,0.32537,0.24496,0.17135,0.19721,0.20318,0.18329,
5.0,11.0,1.60221,0.34008,0.24399,0.17265,0.2004,0.2004,0.18256,
5.0,8.0,1.6001,0.34685,0.2524,0.17163,0.19724,0.19724,0.18148,
